datetime,latitude,longitude,temp_kelvin,power,confidence
2015-05-17T04:00:00,-16.7,125.9,311.8,5,31
2015-06-05T05:00:00,-13.9,130.1,311.3,5,38
2015-06-16T02:00:00,-13.7,132.1,313.3,5,47
2015-07-11T04:00:00,-16.9,128.1,316.6,5,52
2015-07-14T00:00:00,-14.5,141.9,310.4,5,26
2015-08-13T02:00:00,-16.9,122.9,316.5,5,43
2015-08-16T01:00:00,-14.3,131.4,317,5,50
2015-11-01T13:00:00,-18.9,136.7,306.4,5,33
2015-11-01T13:00:00,-15.4,133.5,305.6,5,29
2015-11-01T13:00:00,-14.9,134.3,306.7,5,48
2015-11-02T13:00:00,-21.5,120.2,305.2,5,19
2015-11-07T14:00:00,-15.2,125.5,306.5,5,46
2015-11-14T14:00:00,-15.3,125.4,306.1,5,32
2015-11-16T14:00:00,-15.6,124.5,307.1,5,4
2015-11-22T05:00:00,-31.9,115.9,324,5,77
2015-12-11T00:00:00,-30,151,314.1,5,35
2015-12-18T00:00:00,-37.9,145.2,323.7,5,64
2015-12-22T04:00:00,-38.1,145.2,320.6,5,45
2015-12-31T04:00:00,-38,145.3,328.7,5,64
2015-01-13T05:00:00,-32.1,115.9,326.5,5.1,32
2015-01-14T03:00:00,-22.7,146.9,318.9,5.1,46
2015-01-16T00:00:00,-37.8,144.8,314.9,5.1,58
2015-01-22T16:00:00,-21.4,119.4,305,5.1,13
2015-01-24T18:00:00,-21.7,116.3,307.6,5.1,34
2015-02-08T00:00:00,-37.4,147,311.4,5.1,39
2015-02-17T04:00:00,-33,137.6,324.2,5.1,0
2015-03-26T00:00:00,-23.4,150.7,311.4,5.1,41
2015-04-13T04:00:00,-34.8,147.7,310.8,5.1,20
2015-05-19T01:00:00,-16.8,125.8,313.3,5.1,41
2015-05-23T01:00:00,-14.4,127.3,311.1,5.1,22
2015-05-25T01:00:00,-15.8,135.1,316.3,5.1,47
2015-06-01T01:00:00,-19.5,133.5,310.5,5.1,26
2015-06-05T02:00:00,-14.2,126.7,311.9,5.1,45
2015-07-03T03:00:00,-16.3,136.9,313.8,5.1,47
2015-08-03T02:00:00,-13.3,131.9,317.1,5.1,47
2015-08-06T05:00:00,-14.3,129.8,316.8,5.1,27
2015-08-16T04:00:00,-12.1,141.8,315.6,5.1,49
2015-09-17T04:00:00,-24.2,150.2,313,5.1,44
2015-09-26T01:00:00,-14.7,141.7,318.6,5.1,64
2015-09-29T00:00:00,-11.4,142.3,311.1,5.1,27
2015-10-02T23:00:00,-26.8,152.3,312.2,5.1,37
2015-10-14T13:00:00,-13.4,132.5,305.4,5.1,29
2015-10-29T17:00:00,-21.5,119.2,306.2,5.1,28
2015-11-01T13:00:00,-13,134.5,305.5,5.1,23
2015-11-04T13:00:00,-14.6,125.6,306.6,5.1,47
2015-11-07T17:00:00,-14.6,125.6,305.4,5.1,25
2015-11-11T05:00:00,-32.1,115.9,321.6,5.1,56
2015-11-13T04:00:00,-37.7,144.9,315.2,5.1,52
2015-11-16T01:00:00,-15.5,128.2,320.4,5.1,67
2015-11-25T17:00:00,-16.8,129.4,305.7,5.1,33
2015-12-03T14:00:00,-17.7,125,306.4,5.1,44
2015-02-10T00:00:00,-27.7,153.2,310.8,5.2,12
2015-04-15T04:00:00,-37.3,144,310.2,5.2,31
2015-04-17T13:00:00,-15.8,131.3,306.3,5.2,14
2015-04-21T05:00:00,-31.1,116.1,313.6,5.2,58
2015-04-22T01:00:00,-15.9,131.1,316.9,5.2,53
2015-04-28T04:00:00,-16.5,137.4,318.8,5.2,59
2015-04-30T05:00:00,-12.9,131.6,311.1,5.2,46
2015-05-06T04:00:00,-16.7,126.4,316.5,5.2,50
2015-05-10T04:00:00,-14.6,135,319.6,5.2,53
2015-05-15T04:00:00,-14.2,132.2,315.5,5.2,22
2015-05-31T04:00:00,-20,131.5,311.7,5.2,33
2015-06-08T03:00:00,-28.9,149.6,310.1,5.2,22
2015-06-27T04:00:00,-18.6,131.5,311.1,5.2,43
2015-06-28T00:00:00,-12.4,142,310.2,5.2,21
2015-06-28T05:00:00,-16.1,136.4,314.1,5.2,59
2015-07-14T00:00:00,-12.7,142.8,310,5.2,12
2015-07-29T04:00:00,-13.3,133.6,316.3,5.2,51
2015-08-03T02:00:00,-16.7,133.2,312.1,5.2,22
2015-08-03T04:00:00,-12.5,141.9,311.5,5.2,28
2015-09-13T04:00:00,-16.9,145,311.3,5.2,0
2015-09-24T00:00:00,-27.3,153,311.2,5.2,8
2015-09-28T03:00:00,-10.9,142.4,313,5.2,34
2015-10-02T03:00:00,-26.9,152.5,314,5.2,35
2015-10-06T00:00:00,-38,145.3,315.1,5.2,20
2015-10-12T05:00:00,-32,115.9,321.6,5.2,55
2015-10-22T14:00:00,-15.2,131,306.3,5.2,33
2015-10-24T14:00:00,-13.5,132.7,305.7,5.2,36
2015-11-01T13:00:00,-18.8,142.4,307,5.2,51
