datetime,latitude,longitude,Downwelling short wave radiation,Air temperature, Relative humidity,Wind speed,Wind direction
2/01/2015,-27.4,151.1,246.7509314,23.09511797,79.46935914,3.776649854,71.36777327
2/01/2015,-27.4,153.4,272.7974231,25.74138778,77.44527305,5.538351025,70.79308732
2/01/2015,-26.6,121.1,311.1494794,35.4491575,19.96636228,6.574217845,240.8559308
2/01/2015,-25.9,112.9,332.8031002,22.01423164,79.32513954,11.8148563,174.7475646
2/01/2015,-25.9,128.6,309.8931583,32.31663122,20.3970624,2.977030677,315.4008295
2/01/2015,-25.9,151.1,249.5643417,23.1515507,83.38030448,3.827821274,77.41855013
2/01/2015,-25.1,151.9,258.8014874,25.14544772,74.69095128,3.575246092,87.16353521
2/01/2015,-25.1,152.6,274.3001623,25.83393859,73.17592108,3.54533996,91.06274348
2/01/2015,-24.4,122.6,284.6514899,35.98390723,21.28345121,4.990823926,305.626019
2/01/2015,-24.4,125.6,310.046203,35.27262586,21.31062458,4.490644017,131.5307407
2/01/2015,-24.4,136.9,335.5159301,36.82460734,19.43132323,4.079925302,152.6587811
2/01/2015,-23.6,148.1,275.4826789,26.23079197,68.11678754,4.561890213,78.6605387
2/01/2015,-22.9,113.6,343.0030498,27.25582355,52.55959763,6.923642885,197.3872877
2/01/2015,-22.9,114.4,352.1577482,29.52880863,39.63617258,5.877166209,202.7812672
2/01/2015,-22.9,124.9,323.6930867,35.86214786,23.52369554,4.814623932,94.94303795
2/01/2015,-22.9,149.6,253.2733746,25.89164275,75.25533534,4.709125974,89.61506626
2/01/2015,-22.1,119.6,275.0570214,33.8794068,32.58493295,3.330415525,214.0716054
2/01/2015,-22.1,147.4,262.7459423,26.84695014,68.28763182,5.427396475,84.22571698
2/01/2015,-22.1,148.9,253.0954285,25.4483058,80.80375592,4.931154771,88.89088729
2/01/2015,-21.4,115.9,343.5338852,33.70331933,26.85004078,5.142610105,216.4427436
2/01/2015,-21.4,117.4,311.8635541,34.23104621,26.88639718,2.462361309,205.6961775
2/01/2015,-21.4,118.9,289.1083098,33.34863607,41.99983548,2.771060335,191.4671127
2/01/2015,-21.4,130.1,291.6661624,31.34786657,43.93888824,7.19198619,33.15534523
2/01/2015,-21.4,130.9,277.7911895,30.63441019,46.76589968,6.909526852,29.62795938
2/01/2015,-21.4,146.6,256.8563498,28.29212501,61.62055461,5.460121669,80.03535425
2/01/2015,-20.6,118.1,301.6126192,33.52903144,46.78403849,2.827621846,177.339961
2/01/2015,-20.6,127.1,302.4595221,31.79657112,40.69325104,6.623735775,54.13174843
2/01/2015,-20.6,129.4,271.1287168,30.99430975,48.14910347,7.563387442,43.25480189
2/01/2015,-20.6,139.1,194.465579,28.13329419,70.35402743,2.961664792,94.1144209
2/01/2015,-20.6,145.9,237.7121231,27.69165181,67.01135727,4.889981494,72.35067712
2/01/2015,-20.6,148.1,245.0768027,24.8451106,87.3461952,4.920245757,94.3654998
2/01/2015,-19.9,116.6,336.9182946,30.37173206,67.1565615,5.69233543,248.1094709
2/01/2015,-19.9,120.4,310.8831913,33.80406826,52.06723091,3.115015735,179.3946325
2/01/2015,-19.9,131.6,165.2128561,28.44787503,65.65898953,5.71960886,36.58616252
2/01/2015,-19.9,148.1,250.0467779,25.63160625,86.02396572,5.982431202,98.23591193
2/01/2015,-19.1,126.4,239.8017909,29.75898273,55.63565142,6.88750493,72.02089926
2/01/2015,-19.1,133.9,137.1741631,27.1687391,74.52538302,4.425319262,32.05584755
2/01/2015,-19.1,134.6,161.9527016,27.91354681,71.42348191,3.867397491,31.9549554
2/01/2015,-18.4,121.9,278.3240644,29.86816823,76.45323493,2.423123366,201.6387661
2/01/2015,-18.4,123.4,265.8155243,31.11956978,56.50315184,3.23275971,95.58719631
2/01/2015,-18.4,124.1,253.6383504,31.40026456,54.73035149,4.705074951,73.22353558
2/01/2015,-18.4,127.9,194.3216446,25.26172631,82.38544435,6.954258122,75.69292793
2/01/2015,-18.4,132.4,99.00893394,25.88673354,82.68884937,5.076738054,40.73419047
2/01/2015,-18.4,133.1,108.6583066,25.80413044,82.67553189,4.68932658,37.57286381
2/01/2015,-18.4,137.6,195.4391702,27.61761754,75.40062811,2.978105619,48.39479386
2/01/2015,-18.4,140.6,220.1180874,27.02028292,85.06161476,2.594824615,76.24948037
2/01/2015,-17.6,122.6,254.2695786,28.90305515,77.83417407,2.18683375,187.9035847
2/01/2015,-16.9,145.1,210.6723817,23.27564487,94.06798436,2.354998942,114.8742719
2/01/2015,-16.1,145.1,225.5614296,25.59053333,83.6523769,4.857693072,118.6357823
2/01/2015,-15.4,136.1,223.8837175,27.28702192,83.44203406,2.152840583,77.67352318
2/01/2015,-15.4,142.9,203.0617344,28.65296115,70.45767198,2.161376427,85.89431577
2/01/2015,-13.9,143.6,249.8405185,29.65872445,65.95524287,3.968427238,98.55496986
2/01/2015,-13.1,135.4,178.7231188,26.91910986,84.00433249,1.829842561,333.8538995
2/01/2015,-13.1,142.9,247.1089622,28.31518395,72.22069061,2.471779534,90.3049947
2/01/2015,-12.4,130.9,107.561954,26.12424321,92.69682827,4.060425466,79.8353571
2/01/2015,-11.6,142.1,186.203864,26.62709919,84.55544735,1.69742827,98.53336043
2/01/2015,-10.9,131.6,107.9825956,27.61484599,90.86185703,6.475196385,21.99029134
2/01/2015,-10.1,142.1,167.285169,27.29238402,81.90963242,2.895659722,125.616322
3/01/2015,-43.1,146.6,335.8753201,15.80001026,80.54002112,6.273507787,247.8582863
3/01/2015,-42.4,147.4,349.1042107,21.04775888,64.3167283,5.166860855,265.3630723
3/01/2015,-41.6,147.4,349.2530924,22.01385467,60.66629693,5.123071052,295.5973031
3/01/2015,-40.9,145.9,345.8803416,19.40379776,65.51386992,4.969693358,281.591251
3/01/2015,-40.1,145.1,349.7988217,18.35924325,73.90292464,6.575704033,252.7549134
3/01/2015,-38.6,142.9,314.5608083,17.11331366,79.4171929,6.949132805,222.4165057
3/01/2015,-37.9,145.1,322.5325154,25.8284243,47.77408599,5.267020479,283.4564785
3/01/2015,-37.1,139.9,313.4630008,19.84215762,60.97982289,5.741272848,203.5120488
3/01/2015,-37.1,142.1,299.1804919,24.87494983,43.22046828,5.048048702,235.292976
3/01/2015,-36.4,142.9,292.4383778,28.41948242,35.9088149,5.966270078,243.8416249
3/01/2015,-35.6,144.4,316.8718181,31.21131188,33.60707072,4.788874847,233.0301841
3/01/2015,-34.9,148.1,370.2688652,26.22815263,42.98995013,3.61638914,191.5592565
3/01/2015,-34.1,138.4,293.0433065,24.0741621,56.51472383,6.515511604,199.5212046
3/01/2015,-34.1,150.4,363.6569481,24.44088206,74.5724769,3.564438786,94.21471447
3/01/2015,-33.4,151.1,356.8477044,23.78197461,85.39493582,6.772727095,33.3381923
3/01/2015,-32.6,150.4,353.5090689,25.27793875,67.91336733,2.504882398,130.5988683
3/01/2015,-31.9,115.9,379.5399129,22.49703189,37.82592872,4.523182143,128.8473593
3/01/2015,-31.1,115.1,379.3332064,22.44318158,53.06027919,6.239156438,146.8873516
3/01/2015,-30.4,121.1,366.0335197,23.62354778,44.31493053,7.133223635,113.5903916
3/01/2015,-30.4,122.6,361.0900549,21.93213706,51.88829311,7.016449782,119.5147687
3/01/2015,-29.6,123.4,353.4050435,23.08121368,51.82602368,7.768560089,127.8187865
3/01/2015,-28.9,149.6,315.7861889,27.37304316,53.80872401,3.946343925,40.5708581
3/01/2015,-28.1,121.1,350.8185253,28.35344006,37.30988689,9.25538683,118.4215605
3/01/2015,-27.4,141.4,291.7620619,32.49059004,46.82801449,4.668829431,18.6424265
3/01/2015,-27.4,151.1,232.4709019,21.61323103,86.94537735,3.566975253,70.50602516
3/01/2015,-27.4,153.4,293.2472442,24.50283977,78.66634171,5.288304179,83.80913712
3/01/2015,-26.6,121.1,318.4963092,33.62321353,24.27463327,7.571964754,128.7655201
3/01/2015,-25.9,112.9,358.9259367,24.07255837,71.81221708,10.02408911,175.698709
3/01/2015,-25.9,128.6,296.6147179,30.12463672,28.16113734,5.643617958,159.8921693
3/01/2015,-25.9,151.1,227.2031213,22.11091461,88.10405765,3.466028983,87.65332738
3/01/2015,-25.1,151.9,235.2782854,23.48413002,85.22575387,3.434080339,100.4617255
3/01/2015,-25.1,152.6,254.8966811,24.08325859,85.1603472,3.510337556,108.4492727
3/01/2015,-24.4,122.6,276.7803103,35.24127379,22.81192188,3.856689742,66.3157051
3/01/2015,-24.4,125.6,282.0121199,34.49842799,21.69158978,4.483573137,115.1934376
3/01/2015,-24.4,136.9,252.6969955,34.8068465,36.33423038,5.68877719,46.73151481
3/01/2015,-23.6,148.1,247.7439872,26.51248405,61.21594671,4.319103956,74.61483849
3/01/2015,-22.9,113.6,351.160526,30.08504589,43.04204908,5.946329922,203.6632233
3/01/2015,-22.9,114.4,352.2529761,32.71411215,28.78599073,4.992487839,201.1590981
3/01/2015,-22.9,124.9,294.814322,34.6051631,28.92985402,5.048967782,67.54130306
3/01/2015,-22.9,149.6,281.5888608,26.36867238,68.65277382,4.825318421,88.81063372
3/01/2015,-22.1,119.6,297.0233437,34.03666064,29.55421798,3.50245885,79.76599433
3/01/2015,-22.1,147.4,236.2484966,25.81036024,72.25813167,5.175617827,76.48910257
3/01/2015,-22.1,148.9,263.5704946,25.91508689,73.48877183,4.866383331,84.78477241
3/01/2015,-21.4,115.9,340.7981463,34.08376841,25.60484522,3.964437005,230.1924643
3/01/2015,-21.4,117.4,303.352561,33.89567785,29.95143191,2.600200042,164.6450965
3/01/2015,-21.4,118.9,293.2748172,33.95500983,34.29151165,2.230764879,129.3195075
3/01/2015,-21.4,130.1,118.2805444,24.27400799,78.24448743,8.599804418,82.22305189
3/01/2015,-21.4,130.9,105.6192009,23.95151187,80.12018483,7.560268959,82.25933887
3/01/2015,-21.4,146.6,216.4558617,25.78810246,76.4188808,5.210999334,75.1644469
3/01/2015,-20.6,118.1,293.3355805,34.23922052,39.74651171,2.754407398,160.0566474
3/01/2015,-20.6,127.1,240.5514078,25.61085316,71.20335816,9.847514443,92.25441512
3/01/2015,-20.6,129.4,79.10500961,23.35493721,89.71377913,8.633880708,97.22785799
3/01/2015,-20.6,139.1,178.4313099,26.68311421,80.0813108,3.413327989,47.75757476
3/01/2015,-20.6,145.9,189.3990805,25.48924666,79.19796874,5.054070199,73.15882139
3/01/2015,-20.6,148.1,243.2130574,24.34387705,89.32399922,5.108713549,91.2268288
3/01/2015,-19.9,116.6,326.6158312,30.00647019,70.8502602,6.018958084,255.8625693
3/01/2015,-19.9,120.4,315.9385888,35.46946267,42.19828543,2.673582788,156.6651184
3/01/2015,-19.9,131.6,75.70264233,24.51156987,90.49854671,6.73917442,65.54207508
3/01/2015,-19.9,148.1,241.8702374,25.44129018,86.11992191,6.470730158,95.09244515
3/01/2015,-19.1,126.4,154.8386109,25.90029589,76.74159835,8.541004647,105.096091
3/01/2015,-19.1,133.9,173.5216996,26.01431238,83.11314512,4.512857709,44.52380876
3/01/2015,-19.1,134.6,165.5979283,26.71348121,80.30219912,3.673510916,37.15010544
3/01/2015,-18.4,121.9,281.7087546,31.00211068,65.03228574,2.665837313,160.917113
3/01/2015,-18.4,123.4,278.4857742,32.22894537,50.23455718,6.341555046,116.9647956
3/01/2015,-18.4,124.1,264.2400241,30.99982837,55.48683997,7.266935933,117.4824424
3/01/2015,-18.4,127.9,47.16573421,23.24194062,94.93955964,5.945422775,74.24691202
3/01/2015,-18.4,132.4,139.8046939,24.89771255,91.99365265,6.270985565,40.38371433
3/01/2015,-18.4,133.1,170.3018869,25.14917798,89.77703699,5.518931765,41.81376314
3/01/2015,-18.4,137.6,204.9233763,27.85856301,73.91134966,3.664076062,34.81066266
3/01/2015,-18.4,140.6,155.3566261,26.85021241,86.22530746,2.356728921,88.16211696
3/01/2015,-17.6,122.6,255.027302,30.06968289,69.04116658,2.643346755,176.5657288
3/01/2015,-16.9,145.1,198.1282549,23.32932164,94.28010565,2.639702899,110.0780916
3/01/2015,-16.1,145.1,216.6179843,25.0813267,88.86991644,5.270727639,117.9534353
3/01/2015,-15.4,136.1,210.9304365,26.99734594,88.03064626,2.160101978,68.6386345
3/01/2015,-15.4,142.9,206.6866466,28.06422353,76.03187572,1.61649407,116.6728371
3/01/2015,-13.9,143.6,229.5398527,28.98834285,71.91224791,3.03482691,112.3543103
3/01/2015,-13.1,135.4,202.4314297,26.35600687,90.02954463,2.3071656,288.4371587
3/01/2015,-13.1,142.9,209.802918,27.5995152,78.47948849,1.797423471,124.9904182
3/01/2015,-12.4,130.9,61.65516494,25.18491457,96.255315,4.629332451,108.6860441
3/01/2015,-11.6,142.1,190.2955253,26.92660436,83.9937365,1.359262296,140.2983393
3/01/2015,-10.9,131.6,68.34806759,27.28028365,89.73545321,6.87929248,336.2231448
3/01/2015,-10.1,142.1,204.9192579,27.01523975,86.36882195,2.348190712,164.2047476
4/01/2015,-43.1,146.6,313.6032993,13.54579119,72.66621062,5.860443257,265.5826834
4/01/2015,-42.4,147.4,344.9636922,15.96037094,64.79453191,3.667249709,204.038176
4/01/2015,-41.6,147.4,353.9663335,16.4740035,65.20442592,2.779849038,194.0950506
4/01/2015,-40.9,145.9,360.2643716,15.36484863,67.93099663,2.300138457,183.0061358
4/01/2015,-40.1,145.1,371.9293867,16.2636694,72.97160202,3.78154899,209.3196218
4/01/2015,-38.6,142.9,378.611317,14.42203707,74.60261287,4.745523632,150.6859765
4/01/2015,-37.9,145.1,360.0739478,15.86461461,68.24184156,2.396648057,166.7897798
4/01/2015,-37.1,139.9,381.8160812,17.6641408,56.3718947,5.654329942,149.2847974
4/01/2015,-37.1,142.1,380.738956,18.16188348,49.57664612,3.42177942,146.341276
4/01/2015,-36.4,142.9,372.8745619,21.26881677,43.44298559,4.737130111,150.1658593
4/01/2015,-35.6,144.4,344.0993159,25.99404872,40.94796123,4.271083856,164.6780603
4/01/2015,-34.9,148.1,224.1653391,21.31811962,73.86610727,2.386550479,130.60677
4/01/2015,-34.1,138.4,348.4104265,23.87033284,41.90916754,4.502334114,156.3634009
4/01/2015,-34.1,150.4,260.2520605,21.34561211,85.74987831,2.344265581,180.2629857
4/01/2015,-33.4,151.1,291.0938944,23.41830433,85.90838586,3.642639211,99.26987553
4/01/2015,-32.6,150.4,259.9628851,23.48094882,79.90134349,2.198212064,159.8452215
4/01/2015,-31.9,115.9,373.2129883,28.1414521,34.05700384,4.565524768,117.6096187
4/01/2015,-31.1,115.1,372.743819,25.95862131,50.6099988,5.995778661,137.3233159
4/01/2015,-30.4,121.1,364.1109388,27.46856112,36.99504079,6.372900652,91.55257948
4/01/2015,-30.4,122.6,359.6843621,25.42533255,42.83165298,5.82886305,104.9486772
4/01/2015,-29.6,123.4,355.1617897,26.86357187,38.80657035,5.816416799,111.986754
4/01/2015,-28.9,149.6,281.6248562,27.82924043,47.00457005,3.045203061,61.70144866
4/01/2015,-28.1,121.1,348.698285,31.66123929,28.74021905,7.353563812,98.35482468
4/01/2015,-27.4,141.4,185.7714988,27.68470834,72.59160096,2.108478091,48.44792179
4/01/2015,-27.4,151.1,249.9248347,22.41087707,71.52863384,3.303538909,86.80079115
4/01/2015,-27.4,153.4,293.9498007,24.92799229,67.97955526,4.650887511,104.4071544
4/01/2015,-26.6,121.1,332.0858958,34.35793991,23.44520696,7.487958769,97.00732886
4/01/2015,-25.9,112.9,351.2162521,25.47964318,70.85546104,8.440221163,179.250234
4/01/2015,-25.9,128.6,347.5194646,29.91066301,28.5365981,7.356668684,121.9238466
4/01/2015,-25.9,151.1,259.8247313,23.21777103,67.10562612,3.609339093,103.6389413
4/01/2015,-25.1,151.9,274.5489699,24.50207641,63.97292521,3.390930082,118.0493375
4/01/2015,-25.1,152.6,287.5280527,25.0584817,64.37151469,3.645127114,123.7292013
4/01/2015,-24.4,122.6,308.9362193,35.82215856,19.75565274,7.058494728,104.2507303
4/01/2015,-24.4,125.6,339.8594315,34.76218203,20.45680227,7.235033597,107.7406609
4/01/2015,-24.4,136.9,111.1133211,27.88781012,66.12681037,4.909746341,61.83089985
4/01/2015,-23.6,148.1,206.5105973,25.92719847,59.84455944,3.874546417,83.97354133
4/01/2015,-22.9,113.6,348.5232664,32.3918437,41.68174125,4.092023638,241.6939528
4/01/2015,-22.9,114.4,339.6808403,34.71586311,30.05728384,2.637701565,235.5276284
4/01/2015,-22.9,124.9,309.0564783,33.30523141,34.7887966,7.018320957,80.42048171
4/01/2015,-22.9,149.6,262.2256554,25.84515602,65.71993889,4.395830216,100.7555777
4/01/2015,-22.1,119.6,284.7653352,33.58215578,28.54740939,4.002186498,93.20259317
4/01/2015,-22.1,147.4,203.2438437,26.20122621,62.08840347,4.979138016,86.63573242
4/01/2015,-22.1,148.9,240.6834678,25.86689582,66.73026226,4.753324494,97.78839309
4/01/2015,-21.4,115.9,322.8003465,32.67323923,44.35084126,3.432520046,204.760776
4/01/2015,-21.4,117.4,297.3693914,33.42369878,36.10853894,3.344807178,153.7573146
4/01/2015,-21.4,118.9,288.9174147,33.5748928,33.17695327,3.647616321,111.0000726
4/01/2015,-21.4,130.1,77.44547119,22.15767135,90.17030876,8.135446521,93.56668674
4/01/2015,-21.4,130.9,67.225605,21.50732149,92.98407676,7.671991083,99.20170137
4/01/2015,-21.4,146.6,210.5576876,27.20274425,59.58281502,5.152145002,80.56440678
4/01/2015,-20.6,118.1,299.2157793,34.74651845,35.30716644,3.200865348,142.1697033
4/01/2015,-20.6,127.1,131.0280214,23.10498181,90.02553708,8.713746054,99.28608818
4/01/2015,-20.6,129.4,54.36469381,22.47564357,93.99109105,7.987427196,98.76473027
4/01/2015,-20.6,139.1,212.6213187,25.39423267,87.01772438,2.011006891,120.8409898
4/01/2015,-20.6,145.9,208.2508058,27.26624471,60.37240727,5.126337113,69.36958227
4/01/2015,-20.6,148.1,259.3410805,25.52392275,71.86499403,5.231481217,100.4649275
4/01/2015,-19.9,116.6,328.8891484,29.49422314,75.72726062,5.743945093,257.9546694
